type,dataset,acc_1shot,acc_5shot
categ,EniacCorpus,0.8539680000000001,0.8997080000000001
categ,MMLU_PTBR_Corpus,0.941484,0.96944
categ,RecognasummCorpus,0.93014,0.956828
categ,RulingBRCorpus,0.978068,0.9875960000000001
hate,HateBRCorpus,0.8408599999999999,0.8976240000000001
hate,TuPyCorpus,0.692584,0.757864
intent,CourtDecisionCorpus,0.6856639999999999,0.7854240000000001
intent,IntentPTCorpus,0.967168,0.9811120000000001
review,B2WCorpus,0.9586919999999999,0.9724920000000001
review,BrandsCorpus,0.9698400000000001,0.961532
review,BuscapeCorpus,0.810552,0.8685640000000001
review,OlistCorpus,0.9060079999999999,0.9374119999999999
review,ReProCorpus,0.9398479999999999,0.95954
review,UTLCorpus,0.807196,0.8781079999999999
